Vardas              Pavarde             Egz
Vardas1             Pavarde1            8.4
Vardas10            Pavarde10           7.4
Vardas100           Pavarde100          7.2
Vardas101           Pavarde101          7.4
Vardas105           Pavarde105          6.8
Vardas108           Pavarde108          6.4
Vardas110           Pavarde110          7.2
Vardas111           Pavarde111          6.8
Vardas112           Pavarde112          5.2
Vardas113           Pavarde113          8
Vardas119           Pavarde119          7.2
Vardas12            Pavarde12           7.4
Vardas120           Pavarde120          8
Vardas122           Pavarde122          7.8
Vardas125           Pavarde125          6.2
Vardas126           Pavarde126          5.6
Vardas130           Pavarde130          6.8
Vardas131           Pavarde131          6.8
Vardas132           Pavarde132          6.8
Vardas135           Pavarde135          6.8
Vardas136           Pavarde136          5.6
Vardas138           Pavarde138          5.6
Vardas139           Pavarde139          7.4
Vardas14            Pavarde14           6.2
Vardas140           Pavarde140          7.2
Vardas141           Pavarde141          6.8
Vardas142           Pavarde142          5.4
Vardas145           Pavarde145          8.4
Vardas146           Pavarde146          7.6
Vardas149           Pavarde149          5.6
Vardas150           Pavarde150          5.2
Vardas154           Pavarde154          8
Vardas155           Pavarde155          5.4
Vardas156           Pavarde156          6.4
Vardas157           Pavarde157          5
Vardas158           Pavarde158          7.6
Vardas159           Pavarde159          5
Vardas16            Pavarde16           5.6
Vardas161           Pavarde161          6.8
Vardas163           Pavarde163          6.2
Vardas166           Pavarde166          5
Vardas169           Pavarde169          6.6
Vardas17            Pavarde17           5.6
Vardas170           Pavarde170          6
Vardas172           Pavarde172          5.4
Vardas174           Pavarde174          7.2
Vardas175           Pavarde175          5.6
Vardas176           Pavarde176          6.4
Vardas178           Pavarde178          6.2
Vardas18            Pavarde18           7.6
Vardas183           Pavarde183          7.4
Vardas184           Pavarde184          5.8
Vardas189           Pavarde189          7.8
Vardas19            Pavarde19           6
Vardas190           Pavarde190          5
Vardas191           Pavarde191          6.4
Vardas192           Pavarde192          6.6
Vardas193           Pavarde193          8
Vardas197           Pavarde197          7.4
Vardas2             Pavarde2            5.6
Vardas20            Pavarde20           5.2
Vardas201           Pavarde201          7.4
Vardas204           Pavarde204          7
Vardas205           Pavarde205          6.4
Vardas206           Pavarde206          8
Vardas209           Pavarde209          5.6
Vardas21            Pavarde21           8
Vardas210           Pavarde210          7.6
Vardas211           Pavarde211          7.6
Vardas213           Pavarde213          5.6
Vardas215           Pavarde215          8.4
Vardas219           Pavarde219          7.4
Vardas22            Pavarde22           8.4
Vardas220           Pavarde220          6.8
Vardas221           Pavarde221          6.2
Vardas225           Pavarde225          8.4
Vardas227           Pavarde227          7.4
Vardas229           Pavarde229          5.8
Vardas23            Pavarde23           7
Vardas230           Pavarde230          5
Vardas231           Pavarde231          5
Vardas235           Pavarde235          6
Vardas236           Pavarde236          7.6
Vardas238           Pavarde238          5.8
Vardas24            Pavarde24           5.8
Vardas240           Pavarde240          7.4
Vardas242           Pavarde242          8
Vardas243           Pavarde243          7.2
Vardas244           Pavarde244          7.4
Vardas246           Pavarde246          5.6
Vardas247           Pavarde247          5
Vardas250           Pavarde250          5.2
Vardas251           Pavarde251          8
Vardas256           Pavarde256          5.8
Vardas257           Pavarde257          7.2
Vardas258           Pavarde258          6.2
Vardas26            Pavarde26           8
Vardas260           Pavarde260          6.4
Vardas263           Pavarde263          7.2
Vardas265           Pavarde265          5
Vardas266           Pavarde266          6.8
Vardas272           Pavarde272          5.2
Vardas274           Pavarde274          7.4
Vardas275           Pavarde275          7.4
Vardas276           Pavarde276          5.4
Vardas278           Pavarde278          7
Vardas279           Pavarde279          5.6
Vardas282           Pavarde282          7.8
Vardas283           Pavarde283          6.2
Vardas284           Pavarde284          7
Vardas285           Pavarde285          5.6
Vardas288           Pavarde288          6
Vardas29            Pavarde29           5
Vardas291           Pavarde291          5.4
Vardas292           Pavarde292          6.4
Vardas293           Pavarde293          8
Vardas295           Pavarde295          7.6
Vardas296           Pavarde296          7.6
Vardas297           Pavarde297          7.4
Vardas298           Pavarde298          7.4
Vardas302           Pavarde302          7.6
Vardas304           Pavarde304          7.6
Vardas305           Pavarde305          6.2
Vardas308           Pavarde308          7.8
Vardas309           Pavarde309          6.2
Vardas31            Pavarde31           5.6
Vardas310           Pavarde310          7.4
Vardas311           Pavarde311          7.8
Vardas312           Pavarde312          6.2
Vardas315           Pavarde315          7.4
Vardas316           Pavarde316          5.2
Vardas32            Pavarde32           5.8
Vardas320           Pavarde320          6
Vardas321           Pavarde321          5.4
Vardas324           Pavarde324          7.4
Vardas327           Pavarde327          7
Vardas328           Pavarde328          7.4
Vardas330           Pavarde330          5
Vardas331           Pavarde331          7.4
Vardas334           Pavarde334          5.8
Vardas335           Pavarde335          7.2
Vardas338           Pavarde338          8
Vardas34            Pavarde34           8
Vardas340           Pavarde340          8
Vardas342           Pavarde342          8.8
Vardas343           Pavarde343          6.8
Vardas344           Pavarde344          7
Vardas345           Pavarde345          7.4
Vardas347           Pavarde347          5.6
Vardas348           Pavarde348          5.6
Vardas349           Pavarde349          8.4
Vardas35            Pavarde35           7.6
Vardas350           Pavarde350          6.4
Vardas351           Pavarde351          5
Vardas353           Pavarde353          5.4
Vardas356           Pavarde356          5
Vardas357           Pavarde357          5.6
Vardas359           Pavarde359          6.4
Vardas360           Pavarde360          5.4
Vardas362           Pavarde362          7.2
Vardas363           Pavarde363          6.8
Vardas364           Pavarde364          5
Vardas367           Pavarde367          5.4
