Vardas              Pavarde             ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz
Vardas1             Pavarde1            7    4    7    2    6    8    6    5    9    9    4    
Vardas2             Pavarde2            10   2    9    7    5    4    7    9    10   2    4    
Vardas3             Pavarde3            4    5    2    2    10   4    4    2    8    7    2    
Vardas4             Pavarde4            2    8    10   2    10   3    10   6    9    8    3    
Vardas5             Pavarde5            4    10   6    6    3    5    4    5    2    7    8    
Vardas6             Pavarde6            8    4    9    7    3    1    5    6    8    7    4    
Vardas7             Pavarde7            10   9    1    9    10   1    8    9    6    5    9    
Vardas8             Pavarde8            1    9    4    5    10   4    4    9    5    9    9    
Vardas9             Pavarde9            2    5    1    10   1    10   3    7    3    10   9    
Vardas10            Pavarde10           4    10   6    1    1    2    10   8    6    2    6    
Vardas11            Pavarde11           10   9    1    3    1    5    2    3    5    10   8    
Vardas12            Pavarde12           3    2    7    1    8    1    9    3    6    9    7    
Vardas13            Pavarde13           2    1    6    5    3    5    4    8    7    10   9    
Vardas14            Pavarde14           5    5    1    1    4    10   4    6    5    9    8    
Vardas15            Pavarde15           3    9    6    9    6    8    2    8    4    10   2    
Vardas16            Pavarde16           7    6    7    5    6    7    5    3    8    8    3    
Vardas17            Pavarde17           4    2    2    9    5    7    2    1    4    3    5    
Vardas18            Pavarde18           8    3    6    3    2    5    10   10   4    5    3    
Vardas19            Pavarde19           10   3    6    4    7    1    2    4    10   4    2    
Vardas20            Pavarde20           9    3    1    2    8    7    5    6    4    8    10   
Vardas21            Pavarde21           3    8    6    1    1    8    1    7    10   9    4    
Vardas22            Pavarde22           6    7    7    4    2    8    1    6    3    9    3    
Vardas23            Pavarde23           3    6    8    1    6    7    10   9    3    10   8    
Vardas24            Pavarde24           3    4    4    5    8    2    1    8    3    1    6    
Vardas25            Pavarde25           2    2    10   1    1    1    10   1    10   2    6    
Vardas26            Pavarde26           4    8    5    1    1    1    6    9    5    3    6    
Vardas27            Pavarde27           8    5    7    4    7    9    3    6    9    1    6    
Vardas28            Pavarde28           2    7    7    6    9    5    3    8    7    3    4    
Vardas29            Pavarde29           7    5    4    10   8    5    1    7    5    9    8    
Vardas30            Pavarde30           2    4    7    4    7    10   5    6    5    6    9    
Vardas31            Pavarde31           2    4    9    2    3    2    4    9    2    5    8    
Vardas32            Pavarde32           3    9    10   5    6    8    6    5    3    8    8    
Vardas33            Pavarde33           7    4    9    8    10   7    10   9    3    4    8    
Vardas34            Pavarde34           6    10   6    10   1    7    2    7    7    6    4    
Vardas35            Pavarde35           10   3    1    2    6    6    4    7    2    1    3    
Vardas36            Pavarde36           4    4    10   8    1    3    2    10   1    7    2    
Vardas37            Pavarde37           1    10   6    5    3    8    10   2    3    5    5    
Vardas38            Pavarde38           3    6    4    2    5    7    9    8    8    1    9    
Vardas39            Pavarde39           9    5    3    1    7    10   8    9    6    8    5    
Vardas40            Pavarde40           2    3    8    2    2    7    9    6    2    10   5    
Vardas41            Pavarde41           9    9    2    6    3    8    10   7    2    1    10   
Vardas42            Pavarde42           10   8    3    8    1    10   7    7    10   2    7    
Vardas43            Pavarde43           4    6    10   5    10   8    8    4    2    5    8    
Vardas44            Pavarde44           9    6    10   6    10   10   4    5    5    7    3    
Vardas45            Pavarde45           8    8    1    3    4    1    8    9    6    10   7    
Vardas46            Pavarde46           5    6    7    3    3    8    9    5    5    1    10   
Vardas47            Pavarde47           6    1    3    6    7    10   3    4    2    6    8    
Vardas48            Pavarde48           5    2    1    9    6    1    7    1    10   3    6    
Vardas49            Pavarde49           7    1    3    2    5    2    6    5    10   5    2    
Vardas50            Pavarde50           3    7    9    3    7    1    6    8    8    1    8    
Vardas51            Pavarde51           1    6    2    9    4    6    2    7    5    10   6    
Vardas52            Pavarde52           8    10   8    2    10   7    7    2    7    2    7    
Vardas53            Pavarde53           1    9    4    10   7    4    7    6    7    8    8    
Vardas54            Pavarde54           9    2    4    1    1    9    7    1    1    6    5    
Vardas55            Pavarde55           8    6    10   7    7    10   3    9    6    7    8    
Vardas56            Pavarde56           5    4    5    6    9    9    8    7    2    7    1    
Vardas57            Pavarde57           2    3    6    6    7    8    1    5    5    6    1    
Vardas58            Pavarde58           4    2    10   2    9    2    2    6    5    9    2    
Vardas59            Pavarde59           1    10   5    1    6    2    2    2    8    9    1    
Vardas60            Pavarde60           8    2    2    6    6    9    8    9    5    5    6    
Vardas61            Pavarde61           3    10   7    1    4    4    9    8    3    6    1    
Vardas62            Pavarde62           4    7    7    4    2    9    9    1    8    8    4    
Vardas63            Pavarde63           9    9    5    7    1    9    5    2    6    8    7    
Vardas64            Pavarde64           5    2    4    9    1    3    10   3    4    6    1    
Vardas65            Pavarde65           7    10   7    2    7    6    9    1    3    7    2    
Vardas66            Pavarde66           3    3    7    8    6    1    7    4    9    5    5    
Vardas67            Pavarde67           10   6    9    2    2    5    4    3    9    7    4    
Vardas68            Pavarde68           4    1    3    5    9    9    3    1    1    6    7    
Vardas69            Pavarde69           9    10   2    3    8    4    10   6    8    4    7    
Vardas70            Pavarde70           10   7    4    10   6    6    1    2    3    3    10   
Vardas71            Pavarde71           7    10   6    7    5    10   8    9    7    1    10   
Vardas72            Pavarde72           2    1    1    1    10   1    9    9    5    8    2    
Vardas73            Pavarde73           2    9    1    10   6    3    8    10   4    5    3    
Vardas74            Pavarde74           1    6    3    8    10   1    6    1    3    3    6    
Vardas75            Pavarde75           4    7    1    8    9    8    7    10   9    2    2    
Vardas76            Pavarde76           4    1    5    7    1    6    1    8    5    5    4    
Vardas77            Pavarde77           10   1    8    5    4    2    3    6    1    7    5    
Vardas78            Pavarde78           9    3    5    5    3    1    5    8    5    7    8    
Vardas79            Pavarde79           8    3    4    6    2    1    10   4    1    1    3    
Vardas80            Pavarde80           7    1    4    10   9    10   10   10   5    5    9    
Vardas81            Pavarde81           3    1    5    10   8    1    9    7    2    9    3    
Vardas82            Pavarde82           2    4    7    6    1    9    7    1    7    2    6    
Vardas83            Pavarde83           5    2    2    10   8    9    1    5    3    2    6    
Vardas84            Pavarde84           10   5    6    6    9    10   7    3    3    6    8    
Vardas85            Pavarde85           6    10   1    4    4    7    7    7    4    7    4    
Vardas86            Pavarde86           7    4    7    8    8    1    8    3    2    8    5    
Vardas87            Pavarde87           1    4    8    1    10   7    3    7    9    8    5    
Vardas88            Pavarde88           2    4    9    10   7    1    1    6    9    1    7    
Vardas89            Pavarde89           1    8    8    8    7    4    4    5    6    9    2    
Vardas90            Pavarde90           10   2    7    4    5    3    8    7    9    1    10   
Vardas91            Pavarde91           7    3    8    10   1    9    9    8    4    10   7    
Vardas92            Pavarde92           5    4    3    2    6    6    5    10   1    8    2    
Vardas93            Pavarde93           9    10   10   10   6    1    6    1    3    6    1    
Vardas94            Pavarde94           2    9    10   7    5    3    10   6    9    9    7    
Vardas95            Pavarde95           8    1    3    4    2    7    5    5    4    5    7    
Vardas96            Pavarde96           8    7    8    5    9    4    8    2    8    2    10   
Vardas97            Pavarde97           10   5    4    4    3    3    2    7    7    1    8    
Vardas98            Pavarde98           4    3    7    4    8    4    1    1    7    6    9    
Vardas99            Pavarde99           3    3    6    2    1    9    5    1    4    7    7    
Vardas100           Pavarde100          6    6    6    5    1    6    2    6    7    10   6    
Vardas101           Pavarde101          6    4    6    4    4    5    1    4    4    3    10   
Vardas102           Pavarde102          10   10   6    4    4    1    8    1    8    9    8    
Vardas103           Pavarde103          6    7    8    10   8    2    3    5    2    5    1    
Vardas104           Pavarde104          5    4    9    4    1    8    3    6    1    10   10   
Vardas105           Pavarde105          3    2    7    1    3    10   1    1    9    5    7    
Vardas106           Pavarde106          4    4    6    2    7    9    7    5    3    10   9    
Vardas107           Pavarde107          6    5    4    9    8    4    10   5    9    5    7    
Vardas108           Pavarde108          9    2    9    8    8    4    4    2    10   2    6    
Vardas109           Pavarde109          10   1    2    7    5    8    1    6    4    9    2    
Vardas110           Pavarde110          3    7    1    7    2    3    4    1    7    3    9    
Vardas111           Pavarde111          10   6    1    4    4    8    1    4    6    9    5    
Vardas112           Pavarde112          7    7    7    1    4    4    8    3    9    2    5    
Vardas113           Pavarde113          10   1    5    7    2    9    7    8    7    5    1    
Vardas114           Pavarde114          4    5    6    1    2    1    1    9    5    5    3    
Vardas115           Pavarde115          2    4    8    9    8    3    10   10   1    5    6    
Vardas116           Pavarde116          3    2    7    5    3    1    10   7    2    7    2    
Vardas117           Pavarde117          4    7    4    6    9    9    6    9    9    6    3    
Vardas118           Pavarde118          2    7    6    9    6    10   1    9    6    9    5    
Vardas119           Pavarde119          3    3    10   8    8    8    3    4    6    7    9    
Vardas120           Pavarde120          4    9    2    9    3    1    5    7    9    3    7    
Vardas121           Pavarde121          1    8    9    4    1    8    4    9    5    1    6    
Vardas122           Pavarde122          1    6    6    7    5    6    6    2    7    9    5    
Vardas123           Pavarde123          8    9    8    1    1    7    10   6    4    6    9    
Vardas124           Pavarde124          9    2    3    4    3    4    10   2    3    1    5    
Vardas125           Pavarde125          2    7    4    3    2    7    4    6    5    9    5    
Vardas126           Pavarde126          1    9    1    6    9    4    8    2    5    6    9    
Vardas127           Pavarde127          5    7    9    5    5    1    2    8    2    8    8    
Vardas128           Pavarde128          5    3    6    6    5    9    10   6    7    6    6    
Vardas129           Pavarde129          5    3    5    6    8    9    1    10   3    3    5    
Vardas130           Pavarde130          1    5    5    9    10   2    9    9    8    6    8    
Vardas131           Pavarde131          4    2    4    7    5    7    9    1    3    9    5    
Vardas132           Pavarde132          8    9    6    7    7    1    8    7    7    4    9    
Vardas133           Pavarde133          8    8    8    7    6    2    10   9    9    4    9    
Vardas134           Pavarde134          2    9    8    7    10   1    10   8    2    6    2    
Vardas135           Pavarde135          2    1    6    8    9    7    1    5    9    9    3    
Vardas136           Pavarde136          4    4    8    9    7    7    8    5    5    7    1    
Vardas137           Pavarde137          2    10   5    10   10   1    8    7    1    2    7    
Vardas138           Pavarde138          9    2    1    9    5    1    7    6    4    1    1    
Vardas139           Pavarde139          4    1    8    6    4    1    5    9    10   5    8    
Vardas140           Pavarde140          1    1    3    9    8    3    5    3    9    4    6    
Vardas141           Pavarde141          9    4    8    7    2    2    9    8    2    9    2    
Vardas142           Pavarde142          8    8    10   6    9    4    1    10   2    4    10   
Vardas143           Pavarde143          5    9    5    5    7    2    1    6    6    9    6    
Vardas144           Pavarde144          5    7    4    4    5    10   3    9    5    9    9    
Vardas145           Pavarde145          8    9    5    10   1    6    2    4    6    2    3    
Vardas146           Pavarde146          3    7    1    1    9    1    7    5    5    7    3    
Vardas147           Pavarde147          4    4    1    2    1    4    8    7    2    4    7    
Vardas148           Pavarde148          1    4    10   3    3    4    10   5    10   2    5    
