Vardas              Pavarde             Galutinis
Pavarde5            Vardas5             6.8
Pavarde7            Vardas7             7.8
Pavarde8            Vardas8             7.8
Pavarde9            Vardas9             7.4
Pavarde10           Vardas10            5.6
Pavarde11           Vardas11            6.4
Pavarde12           Vardas12            5.8
Pavarde13           Vardas13            7.4
Pavarde14           Vardas14            6.8
Pavarde20           Vardas20            8
Pavarde23           Vardas23            7.2
Pavarde25           Vardas25            5.2
Pavarde26           Vardas26            5.2
Pavarde27           Vardas27            5.6
Pavarde29           Vardas29            7.2
Pavarde30           Vardas30            7.4
Pavarde31           Vardas31            6.4
Pavarde32           Vardas32            7.2
Pavarde33           Vardas33            7.6
Pavarde37           Vardas37            5
Pavarde38           Vardas38            7.4
Pavarde39           Vardas39            5.4
Pavarde40           Vardas40            5
Pavarde41           Vardas41            8
Pavarde42           Vardas42            6.6
Pavarde43           Vardas43            7.2
Pavarde45           Vardas45            6.2
Pavarde46           Vardas46            8
Pavarde47           Vardas47            6.4
Pavarde48           Vardas48            5.2
Pavarde50           Vardas50            6.8
Pavarde51           Vardas51            5.6
Pavarde52           Vardas52            6.6
Pavarde53           Vardas53            7.2
Pavarde55           Vardas55            7.6
Pavarde60           Vardas60            6
Pavarde63           Vardas63            6.6
Pavarde66           Vardas66            5
Pavarde68           Vardas68            5.8
Pavarde69           Vardas69            6.6
Pavarde70           Vardas70            8
Pavarde71           Vardas71            8.8
Pavarde74           Vardas74            5.2
Pavarde78           Vardas78            6.8
Pavarde80           Vardas80            8.2
Pavarde82           Vardas82            5.2
Pavarde83           Vardas83            5.2
Pavarde84           Vardas84            7.2
Pavarde86           Vardas86            5
Pavarde87           Vardas87            5
Pavarde88           Vardas88            6.2
Pavarde90           Vardas90            8
Pavarde91           Vardas91            6.6
Pavarde94           Vardas94            7
Pavarde95           Vardas95            5.8
Pavarde96           Vardas96            8.4
Pavarde97           Vardas97            6.4
Pavarde98           Vardas98            7
Pavarde99           Vardas99            5.8
Pavarde100          Vardas100           5.6
Pavarde101          Vardas101           7.6
Pavarde102          Vardas102           7.2
Pavarde104          Vardas104           8
Pavarde105          Vardas105           5.8
Pavarde106          Vardas106           7.4
Pavarde107          Vardas107           6.6
Pavarde108          Vardas108           5.6
Pavarde110          Vardas110           6.6
Pavarde111          Vardas111           5
Pavarde112          Vardas112           5
Pavarde115          Vardas115           6
Pavarde118          Vardas118           5.4
Pavarde119          Vardas119           7.8
Pavarde120          Vardas120           6.2
Pavarde121          Vardas121           5.6
Pavarde122          Vardas122           5
Pavarde123          Vardas123           7.8
Pavarde126          Vardas126           7.4
Pavarde127          Vardas127           6.8
Pavarde128          Vardas128           6
Pavarde129          Vardas129           5
Pavarde130          Vardas130           7.2
Pavarde131          Vardas131           5
Pavarde132          Vardas132           7.8
Pavarde133          Vardas133           8.2
Pavarde137          Vardas137           6.2
Pavarde139          Vardas139           6.8
Pavarde140          Vardas140           5.2
Pavarde142          Vardas142           8.4
Pavarde143          Vardas143           5.6
Pavarde144          Vardas144           7.8
Pavarde147          Vardas147           5.4
Pavarde148          Vardas148           5
Pavarde152          Vardas152           7
Pavarde154          Vardas154           7.4
Pavarde155          Vardas155           6.2
Pavarde157          Vardas157           5.6
Pavarde160          Vardas160           5.6
Pavarde162          Vardas162           6
Pavarde163          Vardas163           6.8
Pavarde164          Vardas164           5.2
Pavarde166          Vardas166           7.2
Pavarde167          Vardas167           7.2
Pavarde168          Vardas168           7.8
Pavarde169          Vardas169           5.2
Pavarde171          Vardas171           6.2
Pavarde172          Vardas172           5.8
Pavarde173          Vardas173           6.4
Pavarde174          Vardas174           6.8
Pavarde175          Vardas175           8.4
Pavarde179          Vardas179           7.8
Pavarde180          Vardas180           6.8
Pavarde181          Vardas181           5.4
Pavarde182          Vardas182           6.4
Pavarde184          Vardas184           6.2
Pavarde192          Vardas192           5.2
Pavarde193          Vardas193           5.4
Pavarde194          Vardas194           6.4
Pavarde196          Vardas196           8
Pavarde200          Vardas200           8
Pavarde201          Vardas201           5.4
