Vardas              Pavarde             Galutinis
Pavarde1            Vardas1             4.8
Pavarde2            Vardas2             4.8
Pavarde3            Vardas3             2.8
Pavarde4            Vardas4             4.2
Pavarde6            Vardas6             4.4
Pavarde15           Vardas15            3.6
Pavarde16           Vardas16            4.2
Pavarde17           Vardas17            4.2
Pavarde18           Vardas18            3.8
Pavarde19           Vardas19            3.2
Pavarde21           Vardas21            4.4
Pavarde22           Vardas22            3.8
Pavarde24           Vardas24            4.8
Pavarde28           Vardas28            4.4
Pavarde34           Vardas34            4.8
Pavarde35           Vardas35            3.4
Pavarde36           Vardas36            3.2
Pavarde44           Vardas44            4.6
Pavarde49           Vardas49            2.8
Pavarde54           Vardas54            4.6
Pavarde56           Vardas56            3
Pavarde57           Vardas57            2.2
Pavarde58           Vardas58            3.2
Pavarde59           Vardas59            2.2
Pavarde61           Vardas61            2.6
Pavarde62           Vardas62            4.4
Pavarde64           Vardas64            2.2
Pavarde65           Vardas65            3.2
Pavarde67           Vardas67            4.4
Pavarde72           Vardas72            2.8
Pavarde73           Vardas73            3.8
Pavarde75           Vardas75            3.6
Pavarde76           Vardas76            4
Pavarde77           Vardas77            4.6
Pavarde79           Vardas79            3.4
Pavarde81           Vardas81            3.8
Pavarde85           Vardas85            4.4
Pavarde89           Vardas89            3.6
Pavarde92           Vardas92            3.2
Pavarde93           Vardas93            3
Pavarde103          Vardas103           2.6
Pavarde109          Vardas109           3.2
Pavarde113          Vardas113           3
Pavarde114          Vardas114           3
Pavarde116          Vardas116           2.8
Pavarde117          Vardas117           4.2
Pavarde124          Vardas124           4.6
Pavarde125          Vardas125           4.6
Pavarde134          Vardas134           3.6
Pavarde135          Vardas135           3.8
Pavarde136          Vardas136           3
Pavarde138          Vardas138           2.2
Pavarde141          Vardas141           3.6
Pavarde145          Vardas145           3.8
Pavarde146          Vardas146           3.4
Pavarde149          Vardas149           2.2
Pavarde150          Vardas150           3.8
Pavarde151          Vardas151           3.4
Pavarde153          Vardas153           1.8
Pavarde156          Vardas156           3.4
Pavarde158          Vardas158           4.6
Pavarde159          Vardas159           4.4
Pavarde161          Vardas161           2.8
Pavarde165          Vardas165           4.6
Pavarde170          Vardas170           4.4
Pavarde176          Vardas176           3.8
Pavarde177          Vardas177           3.8
Pavarde178          Vardas178           4.8
Pavarde183          Vardas183           3.8
Pavarde185          Vardas185           3
Pavarde186          Vardas186           4.4
Pavarde187          Vardas187           3.6
Pavarde188          Vardas188           4.6
Pavarde189          Vardas189           4.6
Pavarde190          Vardas190           2.4
Pavarde191          Vardas191           2.2
Pavarde195          Vardas195           4.6
Pavarde197          Vardas197           3.8
Pavarde198          Vardas198           4
Pavarde199          Vardas199           4.2
Pavarde211          Vardas211           2.2
Pavarde213          Vardas213           2.2
Pavarde215          Vardas215           4.6
Pavarde218          Vardas218           2.6
Pavarde220          Vardas220           2.8
Pavarde221          Vardas221           4.2
Pavarde222          Vardas222           3.4
Pavarde223          Vardas223           3.6
Pavarde225          Vardas225           2.2
Pavarde227          Vardas227           4
Pavarde228          Vardas228           3.2
Pavarde235          Vardas235           2.8
Pavarde237          Vardas237           2.8
Pavarde238          Vardas238           3.4
Pavarde243          Vardas243           3
Pavarde244          Vardas244           3.4
Pavarde245          Vardas245           3.2
Pavarde248          Vardas248           4.2
Pavarde249          Vardas249           4.8
Pavarde259          Vardas259           4
Pavarde260          Vardas260           3.8
Pavarde262          Vardas262           3.2
Pavarde264          Vardas264           4.8
Pavarde265          Vardas265           4.4
Pavarde266          Vardas266           4.4
Pavarde269          Vardas269           4.8
Pavarde271          Vardas271           4.6
Pavarde272          Vardas272           3.8
Pavarde273          Vardas273           3
