Vardas              Pavarde             Galutinis
Vardas10            Pavarde10           5.6
Vardas100           Pavarde100          5.6
Vardas1000          Pavarde1000         6
Vardas1003          Pavarde1003         7
Vardas1005          Pavarde1005         5.6
Vardas1006          Pavarde1006         7.6
Vardas1008          Pavarde1008         5.2
Vardas1009          Pavarde1009         5.4
Vardas101           Pavarde101          7.6
Vardas1010          Pavarde1010         8.4
Vardas1011          Pavarde1011         6.2
Vardas1012          Pavarde1012         5.6
Vardas1014          Pavarde1014         5.2
Vardas1015          Pavarde1015         8.4
Vardas1016          Pavarde1016         7
Vardas1017          Pavarde1017         8
Vardas1019          Pavarde1019         5.2
Vardas102           Pavarde102          7.2
Vardas1020          Pavarde1020         7
Vardas1023          Pavarde1023         6
Vardas1024          Pavarde1024         6.6
Vardas1025          Pavarde1025         5
Vardas1026          Pavarde1026         6.8
Vardas1028          Pavarde1028         8
Vardas1029          Pavarde1029         5.6
Vardas1032          Pavarde1032         6.4
Vardas1034          Pavarde1034         6.2
Vardas1039          Pavarde1039         8.2
Vardas104           Pavarde104          8
Vardas1040          Pavarde1040         8.4
Vardas1041          Pavarde1041         7
Vardas1043          Pavarde1043         6.8
Vardas1044          Pavarde1044         8
Vardas1045          Pavarde1045         5
Vardas1046          Pavarde1046         7.8
Vardas1048          Pavarde1048         6
Vardas105           Pavarde105          5.8
Vardas1050          Pavarde1050         7.8
Vardas1051          Pavarde1051         6
Vardas1053          Pavarde1053         6.2
Vardas1055          Pavarde1055         6.4
Vardas1056          Pavarde1056         6
Vardas1057          Pavarde1057         7.2
Vardas1059          Pavarde1059         5.4
Vardas106           Pavarde106          7.4
Vardas1060          Pavarde1060         7
Vardas1061          Pavarde1061         6.2
Vardas1062          Pavarde1062         5.2
Vardas1063          Pavarde1063         5.2
Vardas1064          Pavarde1064         7.2
Vardas1066          Pavarde1066         7.6
Vardas1068          Pavarde1068         7.8
Vardas107           Pavarde107          6.6
Vardas1070          Pavarde1070         8
Vardas1073          Pavarde1073         8
Vardas1076          Pavarde1076         7.8
Vardas1077          Pavarde1077         8.2
Vardas108           Pavarde108          5.6
Vardas1080          Pavarde1080         7.4
Vardas1081          Pavarde1081         7.2
Vardas1082          Pavarde1082         6.6
Vardas1084          Pavarde1084         7
Vardas1086          Pavarde1086         7.2
Vardas1090          Pavarde1090         7.2
Vardas1092          Pavarde1092         6.8
Vardas1093          Pavarde1093         6.2
Vardas1094          Pavarde1094         7.4
Vardas1095          Pavarde1095         7.2
Vardas1096          Pavarde1096         5.6
Vardas11            Pavarde11           6.4
Vardas110           Pavarde110          6.6
Vardas1101          Pavarde1101         5.6
Vardas1102          Pavarde1102         7
Vardas1104          Pavarde1104         6.8
Vardas1108          Pavarde1108         6.8
Vardas111           Pavarde111          5
Vardas1110          Pavarde1110         7.4
Vardas1111          Pavarde1111         7.4
Vardas1114          Pavarde1114         5.8
Vardas1115          Pavarde1115         6.2
Vardas1116          Pavarde1116         6
Vardas1119          Pavarde1119         6.2
Vardas112           Pavarde112          5
Vardas1120          Pavarde1120         5.6
Vardas1121          Pavarde1121         6
Vardas1123          Pavarde1123         5.8
Vardas1124          Pavarde1124         6.2
Vardas1125          Pavarde1125         6.8
Vardas1127          Pavarde1127         7.8
Vardas1128          Pavarde1128         5.4
Vardas1129          Pavarde1129         6.2
Vardas1130          Pavarde1130         6.2
Vardas1131          Pavarde1131         7
Vardas1135          Pavarde1135         8
Vardas1136          Pavarde1136         8
Vardas1138          Pavarde1138         7
Vardas1139          Pavarde1139         5.4
Vardas1140          Pavarde1140         6.4
Vardas1142          Pavarde1142         6.2
Vardas1143          Pavarde1143         5.8
Vardas1144          Pavarde1144         6.8
Vardas1146          Pavarde1146         7.4
Vardas1147          Pavarde1147         6.4
Vardas1148          Pavarde1148         6
Vardas1149          Pavarde1149         6
Vardas115           Pavarde115          6
Vardas1150          Pavarde1150         5.6
Vardas1152          Pavarde1152         8
Vardas1157          Pavarde1157         6.6
Vardas1161          Pavarde1161         5.8
Vardas1162          Pavarde1162         7.2
Vardas1163          Pavarde1163         6.6
Vardas1164          Pavarde1164         7.6
Vardas1166          Pavarde1166         7.2
Vardas1167          Pavarde1167         8.6
Vardas1168          Pavarde1168         6.6
Vardas1169          Pavarde1169         8
Vardas1170          Pavarde1170         5.6
Vardas1171          Pavarde1171         6.8
Vardas1173          Pavarde1173         5.8
Vardas1179          Pavarde1179         7.4
Vardas118           Pavarde118          5.4
Vardas1180          Pavarde1180         5.6
Vardas1186          Pavarde1186         5.6
Vardas1188          Pavarde1188         5.8
Vardas1189          Pavarde1189         7
Vardas119           Pavarde119          7.8
Vardas1192          Pavarde1192         5
Vardas1195          Pavarde1195         5.2
Vardas1196          Pavarde1196         6.6
Vardas1199          Pavarde1199         5.4
Vardas12            Pavarde12           5.8
Vardas120           Pavarde120          6.2
Vardas1200          Pavarde1200         7.6
Vardas1201          Pavarde1201         7.6
