Vardas              Pavarde             Galutinis
Vardas1             Pavarde1            4.8
Vardas10000         Pavarde10000        3.4
Vardas1001          Pavarde1001         4.6
Vardas1002          Pavarde1002         3
Vardas1004          Pavarde1004         3.6
Vardas1007          Pavarde1007         3
Vardas1013          Pavarde1013         4.4
Vardas1018          Pavarde1018         3.4
Vardas1021          Pavarde1021         2.6
Vardas1022          Pavarde1022         3.6
Vardas1027          Pavarde1027         4.4
Vardas103           Pavarde103          2.6
Vardas1030          Pavarde1030         4
Vardas1031          Pavarde1031         2.6
Vardas1033          Pavarde1033         2.6
Vardas1035          Pavarde1035         4.4
Vardas1036          Pavarde1036         4.2
Vardas1037          Pavarde1037         4.8
Vardas1038          Pavarde1038         4
Vardas1042          Pavarde1042         4.8
Vardas1047          Pavarde1047         3.4
Vardas1049          Pavarde1049         2.6
Vardas1052          Pavarde1052         4
Vardas1054          Pavarde1054         4
Vardas1058          Pavarde1058         3.2
Vardas1065          Pavarde1065         4
Vardas1067          Pavarde1067         3.4
Vardas1069          Pavarde1069         3.8
Vardas1071          Pavarde1071         2.2
Vardas1072          Pavarde1072         2.6
Vardas1074          Pavarde1074         4.6
Vardas1075          Pavarde1075         3.2
Vardas1078          Pavarde1078         2.6
Vardas1079          Pavarde1079         3.4
Vardas1083          Pavarde1083         3.8
Vardas1085          Pavarde1085         4.6
Vardas1087          Pavarde1087         2.6
Vardas1088          Pavarde1088         2.2
Vardas1089          Pavarde1089         3.2
Vardas109           Pavarde109          3.2
Vardas1091          Pavarde1091         3.8
Vardas1097          Pavarde1097         3
Vardas1098          Pavarde1098         3.4
Vardas1099          Pavarde1099         2.6
Vardas1100          Pavarde1100         3.6
Vardas1103          Pavarde1103         4.4
Vardas1105          Pavarde1105         3.4
Vardas1106          Pavarde1106         3.8
Vardas1107          Pavarde1107         3.4
Vardas1109          Pavarde1109         3
Vardas1112          Pavarde1112         4
Vardas1113          Pavarde1113         2.6
Vardas1117          Pavarde1117         2.8
Vardas1118          Pavarde1118         3.2
Vardas1122          Pavarde1122         3.4
Vardas1126          Pavarde1126         4.6
Vardas113           Pavarde113          3
Vardas1132          Pavarde1132         3.2
Vardas1133          Pavarde1133         1.8
Vardas1134          Pavarde1134         3
Vardas1137          Pavarde1137         4.8
Vardas114           Pavarde114          3
Vardas1141          Pavarde1141         3.2
Vardas1145          Pavarde1145         2.6
Vardas1151          Pavarde1151         2.8
Vardas1153          Pavarde1153         4.2
Vardas1154          Pavarde1154         2.4
Vardas1155          Pavarde1155         2.6
Vardas1156          Pavarde1156         4.8
Vardas1158          Pavarde1158         2.8
Vardas1159          Pavarde1159         4.4
Vardas116           Pavarde116          2.8
Vardas1160          Pavarde1160         4.4
Vardas1165          Pavarde1165         4
Vardas117           Pavarde117          4.2
Vardas1172          Pavarde1172         2.2
Vardas1174          Pavarde1174         3.8
Vardas1175          Pavarde1175         3.2
Vardas1176          Pavarde1176         4.4
Vardas1177          Pavarde1177         3.8
Vardas1178          Pavarde1178         4
Vardas1181          Pavarde1181         3.8
Vardas1182          Pavarde1182         4.6
Vardas1183          Pavarde1183         3.6
Vardas1184          Pavarde1184         4.8
Vardas1185          Pavarde1185         3.6
Vardas1187          Pavarde1187         4
Vardas1190          Pavarde1190         4.2
Vardas1191          Pavarde1191         3.4
Vardas1193          Pavarde1193         4.6
Vardas1194          Pavarde1194         3.2
Vardas1197          Pavarde1197         4
Vardas1198          Pavarde1198         2.6
Vardas1202          Pavarde1202         3.4
Vardas1203          Pavarde1203         3.8
Vardas1204          Pavarde1204         4
Vardas1205          Pavarde1205         4.2
Vardas1206          Pavarde1206         4.4
Vardas1208          Pavarde1208         3
Vardas1209          Pavarde1209         3.2
Vardas1210          Pavarde1210         4.2
Vardas1212          Pavarde1212         3.6
Vardas1216          Pavarde1216         3.2
Vardas1220          Pavarde1220         3.6
Vardas1223          Pavarde1223         4
Vardas1228          Pavarde1228         3
Vardas1229          Pavarde1229         3
Vardas1233          Pavarde1233         3.4
Vardas1237          Pavarde1237         3.6
Vardas124           Pavarde124          4.6
Vardas1240          Pavarde1240         2.8
Vardas1243          Pavarde1243         4.4
Vardas1245          Pavarde1245         3
Vardas1247          Pavarde1247         3.6
Vardas125           Pavarde125          4.6
Vardas1258          Pavarde1258         3.2
Vardas1262          Pavarde1262         3.4
Vardas1265          Pavarde1265         4.6
Vardas1266          Pavarde1266         3.6
Vardas1268          Pavarde1268         3
Vardas1280          Pavarde1280         3.6
Vardas1281          Pavarde1281         4.8
Vardas1282          Pavarde1282         3.2
Vardas1283          Pavarde1283         4.8
Vardas1285          Pavarde1285         4.2
Vardas1286          Pavarde1286         2.2
Vardas1287          Pavarde1287         2.8
Vardas1288          Pavarde1288         2.2
Vardas1289          Pavarde1289         4.4
Vardas1291          Pavarde1291         3.4
Vardas1294          Pavarde1294         4.2
Vardas1301          Pavarde1301         4.2
Vardas1303          Pavarde1303         3.6
Vardas1304          Pavarde1304         4
Vardas1305          Pavarde1305         3.8
Vardas1306          Pavarde1306         4.4
Vardas1308          Pavarde1308         3.2
Vardas1312          Pavarde1312         4.2
Vardas1313          Pavarde1313         4.2
Vardas1317          Pavarde1317         4.6
Vardas1318          Pavarde1318         4.4
Vardas1319          Pavarde1319         2.2
Vardas1320          Pavarde1320         4.6
Vardas1322          Pavarde1322         3.2
Vardas1325          Pavarde1325         3.2
Vardas1327          Pavarde1327         3.8
Vardas1330          Pavarde1330         3.8
Vardas1333          Pavarde1333         2.6
Vardas1336          Pavarde1336         4.4
Vardas134           Pavarde134          3.6
Vardas1340          Pavarde1340         1.8
Vardas1342          Pavarde1342         3.8
Vardas1345          Pavarde1345         2.2
Vardas1347          Pavarde1347         4
Vardas135           Pavarde135          3.8
Vardas1354          Pavarde1354         4.2
Vardas1357          Pavarde1357         3
Vardas1358          Pavarde1358         3.4
Vardas1359          Pavarde1359         2.2
Vardas136           Pavarde136          3
Vardas1361          Pavarde1361         3.8
Vardas1362          Pavarde1362         4.2
Vardas1368          Pavarde1368         4
Vardas1374          Pavarde1374         3
Vardas138           Pavarde138          2.2
Vardas1382          Pavarde1382         4.8
Vardas1385          Pavarde1385         2.8
Vardas1389          Pavarde1389         3.8
Vardas1391          Pavarde1391         4.4
Vardas1396          Pavarde1396         2.6
Vardas1398          Pavarde1398         4.2
Vardas1400          Pavarde1400         3.2
Vardas1408          Pavarde1408         2.8
Vardas141           Pavarde141          3.6
Vardas1410          Pavarde1410         4
Vardas1415          Pavarde1415         4.2
Vardas1416          Pavarde1416         2.6
Vardas1422          Pavarde1422         3.4
Vardas1424          Pavarde1424         4.2
Vardas1426          Pavarde1426         3.4
Vardas1428          Pavarde1428         4.2
Vardas1429          Pavarde1429         3.8
Vardas1435          Pavarde1435         2.2
Vardas1446          Pavarde1446         3.8
Vardas1447          Pavarde1447         3.2
Vardas1449          Pavarde1449         2.2
Vardas145           Pavarde145          3.8
Vardas1450          Pavarde1450         4.8
Vardas1452          Pavarde1452         4.8
Vardas1453          Pavarde1453         2.2
Vardas1454          Pavarde1454         2.2
Vardas1455          Pavarde1455         4.2
Vardas1456          Pavarde1456         3.2
Vardas1457          Pavarde1457         2.2
Vardas1458          Pavarde1458         4.2
Vardas1459          Pavarde1459         3
Vardas146           Pavarde146          3.4
Vardas1461          Pavarde1461         4
Vardas1465          Pavarde1465         3.6
Vardas1468          Pavarde1468         3.2
Vardas1469          Pavarde1469         3.2
Vardas1470          Pavarde1470         4
Vardas1472          Pavarde1472         3.6
Vardas1473          Pavarde1473         3.6
Vardas1476          Pavarde1476         2.2
Vardas1478          Pavarde1478         4.8
Vardas1479          Pavarde1479         2.6
Vardas1481          Pavarde1481         3.6
Vardas1483          Pavarde1483         4.2
Vardas1485          Pavarde1485         4.2
Vardas1488          Pavarde1488         2.6
Vardas149           Pavarde149          2.2
Vardas1490          Pavarde1490         3.2
Vardas1494          Pavarde1494         4.6
Vardas1498          Pavarde1498         3.2
Vardas15            Pavarde15           3.6
Vardas150           Pavarde150          3.8
Vardas1500          Pavarde1500         2.8
Vardas1502          Pavarde1502         4.2
Vardas1503          Pavarde1503         4.4
Vardas1505          Pavarde1505         3.6
Vardas1506          Pavarde1506         3.4
Vardas1507          Pavarde1507         4.4
Vardas1509          Pavarde1509         2.6
Vardas151           Pavarde151          3.4
Vardas1511          Pavarde1511         2.6
Vardas1514          Pavarde1514         3.6
Vardas1517          Pavarde1517         3.2
Vardas1519          Pavarde1519         3.8
Vardas1521          Pavarde1521         4.4
Vardas1522          Pavarde1522         3.8
Vardas1524          Pavarde1524         4.8
Vardas1525          Pavarde1525         3.2
Vardas1527          Pavarde1527         4.2
Vardas1529          Pavarde1529         3.2
Vardas153           Pavarde153          1.8
Vardas1530          Pavarde1530         4.8
Vardas1532          Pavarde1532         2.2
Vardas1534          Pavarde1534         4.2
Vardas1535          Pavarde1535         2.2
Vardas1536          Pavarde1536         4
Vardas1537          Pavarde1537         3.2
Vardas1543          Pavarde1543         4
Vardas1544          Pavarde1544         3.2
Vardas1548          Pavarde1548         2.6
Vardas1550          Pavarde1550         4.8
Vardas1553          Pavarde1553         4
Vardas1554          Pavarde1554         4.4
Vardas1555          Pavarde1555         4.8
Vardas1559          Pavarde1559         2.6
Vardas156           Pavarde156          3.4
Vardas1561          Pavarde1561         4.6
Vardas1564          Pavarde1564         2.6
Vardas1572          Pavarde1572         2.6
Vardas1575          Pavarde1575         3.2
Vardas1576          Pavarde1576         3.8
Vardas158           Pavarde158          4.6
Vardas1583          Pavarde1583         2.8
Vardas1585          Pavarde1585         4.2
Vardas1587          Pavarde1587         2.6
Vardas1589          Pavarde1589         3
Vardas159           Pavarde159          4.4
Vardas1592          Pavarde1592         2.6
Vardas1594          Pavarde1594         4.4
Vardas1595          Pavarde1595         2.6
Vardas1596          Pavarde1596         2.4
Vardas1598          Pavarde1598         4.4
Vardas16            Pavarde16           4.2
Vardas1602          Pavarde1602         3.6
Vardas1603          Pavarde1603         3
Vardas1604          Pavarde1604         3
Vardas1609          Pavarde1609         3.6
Vardas161           Pavarde161          2.8
Vardas1613          Pavarde1613         2.6
Vardas1614          Pavarde1614         3.8
Vardas1615          Pavarde1615         2.2
Vardas1618          Pavarde1618         2.8
Vardas1622          Pavarde1622         2.6
Vardas1628          Pavarde1628         1.8
Vardas1629          Pavarde1629         3.6
Vardas1630          Pavarde1630         3.6
Vardas1633          Pavarde1633         4.8
Vardas1634          Pavarde1634         4
Vardas1635          Pavarde1635         2.8
Vardas1636          Pavarde1636         4.8
Vardas1638          Pavarde1638         3.4
Vardas1639          Pavarde1639         3.8
Vardas1646          Pavarde1646         4.4
Vardas165           Pavarde165          4.6
Vardas1650          Pavarde1650         4
Vardas1654          Pavarde1654         3
Vardas1655          Pavarde1655         2.6
Vardas1664          Pavarde1664         3.8
Vardas1666          Pavarde1666         3.6
Vardas1667          Pavarde1667         3
Vardas1669          Pavarde1669         3.6
Vardas1674          Pavarde1674         2.6
Vardas1677          Pavarde1677         3.8
Vardas1678          Pavarde1678         3.2
Vardas1679          Pavarde1679         2.8
Vardas1681          Pavarde1681         2.6
Vardas1682          Pavarde1682         2.8
Vardas1688          Pavarde1688         2.6
Vardas1689          Pavarde1689         4.4
Vardas1693          Pavarde1693         3.4
Vardas1695          Pavarde1695         3.2
Vardas1696          Pavarde1696         4
Vardas1697          Pavarde1697         3.2
Vardas1699          Pavarde1699         3.8
Vardas17            Pavarde17           4.2
Vardas170           Pavarde170          4.4
Vardas1700          Pavarde1700         3.4
Vardas1702          Pavarde1702         3.8
Vardas1703          Pavarde1703         2.6
Vardas1704          Pavarde1704         4
Vardas1705          Pavarde1705         1.8
Vardas1707          Pavarde1707         2.6
Vardas1709          Pavarde1709         4.2
Vardas1712          Pavarde1712         3.2
Vardas1716          Pavarde1716         4.4
Vardas1719          Pavarde1719         2.6
Vardas1721          Pavarde1721         4
Vardas1722          Pavarde1722         3.2
Vardas1723          Pavarde1723         3.2
Vardas1728          Pavarde1728         2.2
Vardas1729          Pavarde1729         2.6
Vardas1731          Pavarde1731         3.2
Vardas1732          Pavarde1732         3.6
Vardas1740          Pavarde1740         3
Vardas1741          Pavarde1741         4.8
Vardas1742          Pavarde1742         3.2
Vardas1743          Pavarde1743         4.8
Vardas1744          Pavarde1744         3
Vardas1745          Pavarde1745         3.2
Vardas1748          Pavarde1748         2.6
Vardas1751          Pavarde1751         4.8
Vardas1755          Pavarde1755         2.6
Vardas1756          Pavarde1756         4.2
Vardas1757          Pavarde1757         4
Vardas1758          Pavarde1758         4.4
Vardas176           Pavarde176          3.8
Vardas1761          Pavarde1761         3.2
Vardas1763          Pavarde1763         3.6
Vardas1768          Pavarde1768         4.8
Vardas1769          Pavarde1769         3.2
Vardas177           Pavarde177          3.8
Vardas1770          Pavarde1770         4.2
Vardas1771          Pavarde1771         3.6
Vardas1775          Pavarde1775         3.8
Vardas1776          Pavarde1776         4.6
Vardas1778          Pavarde1778         3.2
Vardas178           Pavarde178          4.8
Vardas1782          Pavarde1782         2.8
Vardas1787          Pavarde1787         3.6
Vardas1793          Pavarde1793         4.4
Vardas1796          Pavarde1796         3.8
Vardas1797          Pavarde1797         3.6
Vardas1798          Pavarde1798         2.4
Vardas18            Pavarde18           3.8
Vardas1800          Pavarde1800         2.2
Vardas1801          Pavarde1801         3.4
Vardas1803          Pavarde1803         2.6
Vardas1809          Pavarde1809         4.2
Vardas1810          Pavarde1810         3.8
Vardas1814          Pavarde1814         2.6
Vardas1815          Pavarde1815         2.4
Vardas1817          Pavarde1817         2.2
Vardas1818          Pavarde1818         2.8
Vardas1821          Pavarde1821         4.8
Vardas1822          Pavarde1822         4
Vardas1823          Pavarde1823         2.2
Vardas1824          Pavarde1824         3
Vardas1826          Pavarde1826         2.6
Vardas1827          Pavarde1827         3.8
Vardas1829          Pavarde1829         4.6
Vardas183           Pavarde183          3.8
Vardas1830          Pavarde1830         3.8
Vardas1831          Pavarde1831         3.8
Vardas1834          Pavarde1834         3.2
Vardas1836          Pavarde1836         3
Vardas1838          Pavarde1838         3.4
Vardas1843          Pavarde1843         2.8
Vardas1844          Pavarde1844         2.6
Vardas1845          Pavarde1845         3.4
Vardas1846          Pavarde1846         3.6
Vardas1848          Pavarde1848         3
Vardas185           Pavarde185          3
Vardas1850          Pavarde1850         3
Vardas1851          Pavarde1851         2.8
Vardas1852          Pavarde1852         3
Vardas1858          Pavarde1858         4.2
Vardas186           Pavarde186          4.4
Vardas1860          Pavarde1860         4.4
Vardas1861          Pavarde1861         2.2
Vardas1862          Pavarde1862         4.8
Vardas1867          Pavarde1867         2.8
Vardas187           Pavarde187          3.6
Vardas1870          Pavarde1870         3
Vardas1871          Pavarde1871         3
Vardas1872          Pavarde1872         4.8
Vardas1873          Pavarde1873         3.2
Vardas1878          Pavarde1878         4.4
Vardas188           Pavarde188          4.6
Vardas1884          Pavarde1884         2.8
Vardas1885          Pavarde1885         3.2
Vardas1887          Pavarde1887         3
Vardas1888          Pavarde1888         4.4
Vardas189           Pavarde189          4.6
Vardas1892          Pavarde1892         3.6
Vardas1893          Pavarde1893         2.2
Vardas1894          Pavarde1894         2.2
Vardas19            Pavarde19           3.2
Vardas190           Pavarde190          2.4
Vardas1900          Pavarde1900         4.2
Vardas1901          Pavarde1901         4.2
Vardas1902          Pavarde1902         3.4
Vardas1907          Pavarde1907         3.6
Vardas1908          Pavarde1908         3.8
Vardas1909          Pavarde1909         2.8
Vardas191           Pavarde191          2.2
Vardas1910          Pavarde1910         2.6
Vardas1914          Pavarde1914         4
Vardas1916          Pavarde1916         4.2
Vardas1918          Pavarde1918         1.8
Vardas1927          Pavarde1927         4.8
Vardas1930          Pavarde1930         2.6
Vardas1932          Pavarde1932         3
Vardas1933          Pavarde1933         4
Vardas1937          Pavarde1937         3.2
Vardas1939          Pavarde1939         4.2
Vardas1941          Pavarde1941         4.2
Vardas1943          Pavarde1943         2.2
Vardas1944          Pavarde1944         3.8
Vardas1947          Pavarde1947         3.2
Vardas1948          Pavarde1948         3.2
Vardas195           Pavarde195          4.6
Vardas1950          Pavarde1950         2.8
Vardas1958          Pavarde1958         4.6
Vardas1959          Pavarde1959         2.8
Vardas1960          Pavarde1960         3.2
Vardas1961          Pavarde1961         4.6
Vardas1963          Pavarde1963         4
Vardas1965          Pavarde1965         3.6
Vardas1967          Pavarde1967         3
Vardas197           Pavarde197          3.8
Vardas1971          Pavarde1971         3.8
Vardas1972          Pavarde1972         3.6
Vardas1977          Pavarde1977         2.6
Vardas1978          Pavarde1978         4.8
Vardas1979          Pavarde1979         3.4
Vardas198           Pavarde198          4
Vardas1987          Pavarde1987         2.2
Vardas1988          Pavarde1988         2.6
Vardas1989          Pavarde1989         3.6
Vardas199           Pavarde199          4.2
Vardas1992          Pavarde1992         3
Vardas1994          Pavarde1994         3.2
Vardas1995          Pavarde1995         1.4
Vardas1998          Pavarde1998         4.8
Vardas2             Pavarde2            4.8
Vardas2002          Pavarde2002         4.8
Vardas2003          Pavarde2003         4.8
Vardas2004          Pavarde2004         3
Vardas2005          Pavarde2005         3.6
Vardas2007          Pavarde2007         2.8
Vardas2008          Pavarde2008         2.4
Vardas2016          Pavarde2016         3.4
Vardas2017          Pavarde2017         3.2
Vardas2019          Pavarde2019         1.8
Vardas2029          Pavarde2029         2.2
Vardas2031          Pavarde2031         4
Vardas2034          Pavarde2034         2.2
Vardas2035          Pavarde2035         2.8
Vardas2036          Pavarde2036         3.2
Vardas2037          Pavarde2037         4.6
Vardas2039          Pavarde2039         2.2
Vardas2048          Pavarde2048         4.2
Vardas2051          Pavarde2051         4.2
Vardas2052          Pavarde2052         2.2
Vardas2054          Pavarde2054         3.4
Vardas2055          Pavarde2055         2.8
Vardas2061          Pavarde2061         4.8
Vardas2070          Pavarde2070         3.8
Vardas2074          Pavarde2074         3
Vardas2078          Pavarde2078         3.8
Vardas2080          Pavarde2080         4.4
Vardas2081          Pavarde2081         2.2
Vardas2083          Pavarde2083         3
Vardas2084          Pavarde2084         4.6
Vardas2086          Pavarde2086         3
Vardas2089          Pavarde2089         4.8
Vardas2091          Pavarde2091         3.2
Vardas2093          Pavarde2093         3.2
Vardas2094          Pavarde2094         2.8
Vardas2099          Pavarde2099         3.8
Vardas21            Pavarde21           4.4
Vardas2100          Pavarde2100         2.6
Vardas2102          Pavarde2102         3.4
Vardas2104          Pavarde2104         3.2
Vardas211           Pavarde211          2.2
Vardas2110          Pavarde2110         3.8
Vardas2112          Pavarde2112         4.6
Vardas2114          Pavarde2114         4
Vardas2115          Pavarde2115         2.6
Vardas2117          Pavarde2117         2.6
Vardas2118          Pavarde2118         4.8
Vardas2119          Pavarde2119         2.6
Vardas2123          Pavarde2123         3.4
Vardas2126          Pavarde2126         2.6
Vardas2127          Pavarde2127         2.2
Vardas2128          Pavarde2128         2.6
Vardas213           Pavarde213          2.2
Vardas2132          Pavarde2132         4
Vardas2133          Pavarde2133         4.8
Vardas2137          Pavarde2137         3.2
Vardas2139          Pavarde2139         4.2
Vardas2145          Pavarde2145         3
Vardas2146          Pavarde2146         3.4
Vardas2147          Pavarde2147         2.2
Vardas2148          Pavarde2148         3.2
Vardas215           Pavarde215          4.6
Vardas2150          Pavarde2150         4
Vardas2152          Pavarde2152         3.4
Vardas2153          Pavarde2153         4.2
Vardas2156          Pavarde2156         3.2
Vardas2158          Pavarde2158         2.6
Vardas2160          Pavarde2160         4.6
Vardas2161          Pavarde2161         2.6
Vardas2169          Pavarde2169         4
Vardas2175          Pavarde2175         2.8
Vardas2176          Pavarde2176         3.2
Vardas2178          Pavarde2178         3.2
Vardas218           Pavarde218          2.6
Vardas2181          Pavarde2181         2.6
Vardas2182          Pavarde2182         3.4
Vardas2183          Pavarde2183         3.6
